,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
14230,72,2020-03-16,9,Maaseik,72000,251589,0.04
478,12,2020-03-16,7,Malines,12000,344818,0.02
15862,83,2020-03-16,2,Marche-en-Famenne,83000,56476,0.04
9952,53,2020-03-16,26,Mons,53000,258999,0.1
16240,84,2020-03-16,2,Neufchâteau,84000,63375,0.03
2763,25,2020-03-16,11,Nivelles,25000,403599,0.03
4898,35,2020-03-16,12,Ostende,35000,157200,0.08
5339,36,2020-03-16,7,Roulers,36000,153315,0.05
8666,46,2020-03-16,4,Saint-Nicolas,46000,252523,0.02
10389,55,2020-03-16,4,Soignies,55000,104533,0.04
6991,42,2020-03-16,4,Termonde,42000,201213,0.02
5782,37,2020-03-16,1,Tielt,37000,92905,0.01
14679,73,2020-03-16,7,Tongres,73000,203963,0.03
11201,57,2020-03-16,2,Tournai,57000,223417,0.01
924,13,2020-03-16,8,Turnhout,13000,461867,0.02
12939,63,2020-03-16,6,Verviers,63000,287772,0.02
13373,64,2020-03-16,2,Waremme,64000,81389,0.02
4039,33,2020-03-16,2,Ypres,33000,106279,0.02
6554,41,2020-03-17,1,Alost,41000,291229,0.0
15,11,2020-03-17,26,Anvers,11000,1051301,0.02
15120,81,2020-03-17,1,Arlon,81000,62623,0.02
9110,51,2020-03-17,2,Ath,51000,127915,0.02
8254,45,2020-03-17,2,Audenarde,45000,124342,0.02
15502,82,2020-03-17,1,Bastogne,82000,48413,0.02
3219,31,2020-03-17,7,Bruges,31000,282209,0.02
1385,21,2020-03-17,19,Bruxelles-Capitale,21000,1208542,0.02
9508,52,2020-03-17,5,Charleroi,52000,396639,0.01
4454,34,2020-03-17,9,Courtrai,34000,290706,0.03
16944,91,2020-03-17,2,Dinant,91000,111008,0.02
3657,32,2020-03-17,1,Dixmude,32000,51525,0.02
7424,43,2020-03-17,1,Eeklo,43000,85235,0.01
6187,38,2020-03-17,1,Furnes,38000,61657,0.02
7806,44,2020-03-17,13,Gand,44000,560522,0.02
1849,23,2020-03-17,14,Hal-Vilvorde,23000,637441,0.02
13771,71,2020-03-17,39,Hasselt,71000,418496,0.09
12074,61,2020-03-17,2,Huy,61000,113409,0.02
11650,58,2020-03-17,1,La Louvière,58000,141060,0.01
12482,62,2020-03-17,23,Liège,62000,624422,0.04
2310,24,2020-03-17,12,Louvain,24000,508734,0.02
14231,72,2020-03-17,8,Maaseik,72000,251589,0.03
479,12,2020-03-17,10,Malines,12000,344818,0.03
15863,83,2020-03-17,1,Marche-en-Famenne,83000,56476,0.02
9953,53,2020-03-17,25,Mons,53000,258999,0.1
17350,92,2020-03-17,6,Namur,92000,316962,0.02
2764,25,2020-03-17,10,Nivelles,25000,403599,0.02
4899,35,2020-03-17,4,Ostende,35000,157200,0.03
5340,36,2020-03-17,8,Roulers,36000,153315,0.05
8667,46,2020-03-17,9,Saint-Nicolas,46000,252523,0.04
10390,55,2020-03-17,2,Soignies,55000,104533,0.02
6992,42,2020-03-17,7,Termonde,42000,201213,0.03
10801,56,2020-03-17,1,Thuin,56000,91678,0.01
5783,37,2020-03-17,5,Tielt,37000,92905,0.05
14680,73,2020-03-17,4,Tongres,73000,203963,0.02
11202,57,2020-03-17,4,Tournai,57000,223417,0.02
925,13,2020-03-17,9,Turnhout,13000,461867,0.02
12940,63,2020-03-17,7,Verviers,63000,287772,0.02
13374,64,2020-03-17,1,Waremme,64000,81389,0.01
4040,33,2020-03-17,7,Ypres,33000,106279,0.07
6555,41,2020-03-18,5,Alost,41000,291229,0.02
16,11,2020-03-18,23,Anvers,11000,1051301,0.02
15121,81,2020-03-18,1,Arlon,81000,62623,0.02
9111,51,2020-03-18,4,Ath,51000,127915,0.03
8255,45,2020-03-18,3,Audenarde,45000,124342,0.02
15503,82,2020-03-18,2,Bastogne,82000,48413,0.04
3220,31,2020-03-18,5,Bruges,31000,282209,0.02
1386,21,2020-03-18,52,Bruxelles-Capitale,21000,1208542,0.04
9509,52,2020-03-18,3,Charleroi,52000,396639,0.01
4455,34,2020-03-18,16,Courtrai,34000,290706,0.06
16945,91,2020-03-18,5,Dinant,91000,111008,0.05
7425,43,2020-03-18,2,Eeklo,43000,85235,0.02
6188,38,2020-03-18,1,Furnes,38000,61657,0.02
7807,44,2020-03-18,16,Gand,44000,560522,0.03
1850,23,2020-03-18,17,Hal-Vilvorde,23000,637441,0.03
13772,71,2020-03-18,27,Hasselt,71000,418496,0.06
12075,61,2020-03-18,6,Huy,61000,113409,0.05
11651,58,2020-03-18,2,La Louvière,58000,141060,0.01
12483,62,2020-03-18,20,Liège,62000,624422,0.03
2311,24,2020-03-18,24,Louvain,24000,508734,0.05
14232,72,2020-03-18,6,Maaseik,72000,251589,0.02
480,12,2020-03-18,9,Malines,12000,344818,0.03
15864,83,2020-03-18,1,Marche-en-Famenne,83000,56476,0.02
9954,53,2020-03-18,30,Mons,53000,258999,0.12
17351,92,2020-03-18,12,Namur,92000,316962,0.04
16241,84,2020-03-18,7,Neufchâteau,84000,63375,0.11
