,date,Age,Location
739,2019-01-14,70,Chaineux
740,2019-01-14,81,Kortrijk
741,2019-01-14,96,Huy
742,2019-01-13,83,Diepenbeek
743,2019-01-13,86,Neu-Moresnet
744,2019-01-13,85,Malmedy
745,2019-01-13,95,Houtaing
746,2019-01-13,82,Kleine-Spouwen
747,2019-01-13,95,Hasselt
748,2019-01-13,88,Waha
749,2019-01-13,88,Neerharen
750,2019-01-13,70,Maldegem
751,2019-01-13,89,Wommelgem
752,2019-01-13,94,Waregem
753,2019-01-13,93,Hoeselt
754,2019-01-13,71,Diepenbeek
755,2019-01-13,55,Stave
756,2019-01-13,79,Battice
757,2019-01-13,77,Dinant
758,2019-01-13,107,Diepenbeek
759,2019-01-13,70,Sint-Lambrechts-Herk
760,2019-01-13,90,Diepenbeek
761,2019-01-13,84,Tongerlo
762,2019-01-13,88,Kermt
763,2019-01-13,79,-
764,2019-01-13,84,Rekem
765,2019-01-13,90,Ollignies
766,2019-01-13,90,Houffalize
767,2019-01-13,90,Mopertingen
768,2019-01-13,80,Blicquy
769,2019-01-13,61,Beverst
770,2019-01-13,74,Mal
771,2019-01-13,89,-
772,2019-01-13,85,-
773,2019-01-13,80,HONY
774,2019-01-13,90,Verlaine
775,2019-01-13,98,Achet
776,2019-01-13,83,Ekeren
777,2019-01-13,85,Hoboken
778,2019-01-13,82,GENK
779,2019-01-13,78,-
780,2019-01-13,82,Tongeren
781,2019-01-13,84,Hasselt
782,2019-01-13,71,Floreffe
783,2019-01-13,74,Bocholt
784,2019-01-13,68,Sint-Truiden
785,2019-01-13,47,Bilzen
786,2019-01-13,101,Antwerpen
787,2019-01-13,73,Sint-Truiden
788,2019-01-12,77,Antwerpen
789,2019-01-12,65,Aaigem
790,2019-01-12,95,Ellezelles
791,2019-01-12,67,Rongy
792,2019-01-12,82,Genk
793,2019-01-12,83,Drongen
794,2019-01-12,93,Berendrecht
795,2019-01-12,78,Rochefort
796,2019-01-12,88,Genk
797,2019-01-12,90,Lommel
798,2019-01-12,85,Érezée
799,2019-01-12,88,Alken
800,2019-01-12,86,Hasselt
801,2019-01-12,46,Hérinnes
802,2019-01-12,79,Meeuwen
803,2019-01-12,81,Tongeren
804,2019-01-12,79,Opglabbeek
805,2019-01-12,72,Hannut
806,2019-01-12,86,Helchteren
807,2019-01-12,87,
808,2019-01-12,82,Gaurain-Ramecroix
809,2019-01-12,77,Hérinnes
810,2019-01-12,62,Kuringen
811,2019-01-12,67,Hechtel
812,2019-01-12,83,Hasselt
813,2019-01-12,93,Beauraing
814,2019-01-12,84,Bilzen
815,2019-01-12,78,Bilzen
816,2019-01-12,83,Namur
817,2019-01-12,74,Berchem
818,2019-01-12,80,-
819,2019-01-12,89,Oostende
820,2019-01-12,70,Maasmechelen
821,2019-01-12,89,Ollignies
822,2019-01-12,89,Koersel
823,2019-01-12,90,Alken
