INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
23099,Kraainem,Kraainem,23099A,KRAAINEM,KRAAINEM,
23100,Linkebeek,Linkebeek,23100A,LINKEBEEK,LINKEBEEK,
23101,Sint-Genesius-Rode,Rhode-Saint-Genèse,23101A,SINT-GENESIUS-RODE,SINT-GENESIUS-RODE,
23102,Wemmel,Wemmel,23102A,WEMMEL,WEMMEL,
23103,Wezembeek-Oppem,Wezembeek-Oppem,23103A,WEZEMBEEK-OPPEM,WEZEMBEEK-OPPEM,
23104,Lennik,Lennik,23104A,ST-KWINTENS-LENNIK* + DEEL ROOSDAAL,ST-KWINTENS-LENNIK* + DEEL ROOSDAAL,
23104,Lennik,Lennik,23104B,SINT-MARTENS-LENNIK,SINT-MARTENS-LENNIK,
23104,Lennik,Lennik,23104C,GAASBEEK,GAASBEEK,
23105,Affligem,Affligem,23105A,HEKELGEM,HEKELGEM,
23105,Affligem,Affligem,23105B,ESSENE,ESSENE,
23105,Affligem,Affligem,23105C,TERALFENE,TERALFENE,
24001,Aarschot,Aarschot,24001A,AARSCHOT + DEEL BEGIJNENDIJK,AARSCHOT + DEEL BEGIJNENDIJK,
24001,Aarschot,Aarschot,24001B,LANGDORP,LANGDORP,
24001,Aarschot,Aarschot,24001C,RILLAAR,RILLAAR,
24001,Aarschot,Aarschot,24001D,GELRODE,GELRODE,
24007,Begijnendijk,Begijnendijk,24007A,BEGIJNENDIJK*,BEGIJNENDIJK*,
24007,Begijnendijk,Begijnendijk,24007B,BETEKOM*,BETEKOM*,
24008,Bekkevoort,Bekkevoort,24008A,BEKKEVOORT,BEKKEVOORT,
24008,Bekkevoort,Bekkevoort,24008B,ASSENT,ASSENT,
24008,Bekkevoort,Bekkevoort,24008C,MOLENBEEK - WERSBEEK,MOLENBEEK - WERSBEEK,
24009,Bertem,Bertem,24009A,BERTEM,BERTEM,
24009,Bertem,Bertem,24009B,KORBEEK-DIJLE,KORBEEK-DIJLE,
24009,Bertem,Bertem,24009C,LEEFDAAL,LEEFDAAL,
24011,Bierbeek,Bierbeek,24011A,BIERBEEK,BIERBEEK,
24011,Bierbeek,Bierbeek,24011B,KORBEEK-LO*,KORBEEK-LO*,
24011,Bierbeek,Bierbeek,24011C,LOVENJOEL,LOVENJOEL,
24011,Bierbeek,Bierbeek,24011D,HONSEM (DEEL),HONSEM (DEEL),
24014,Boortmeerbeek,Boortmeerbeek,240141,WIJZIGING VAN GEMEENTEGRENS,WIJZIGING VAN GEMEENTEGRENS,
24014,Boortmeerbeek,Boortmeerbeek,24014A,BOORTMEERBEEK,BOORTMEERBEEK,
24014,Boortmeerbeek,Boortmeerbeek,24014B,HEVER,HEVER,
24016,Boutersem,Boutersem,24016A,BOUTERSEM,BOUTERSEM,
24016,Boutersem,Boutersem,24016B,KERKOM,KERKOM,
24016,Boutersem,Boutersem,24016C,ROOSBEEK,ROOSBEEK,
24016,Boutersem,Boutersem,24016D,HONSEM*,HONSEM*,
24020,Diest,Diest,24020A,DIEST,DIEST,
24020,Diest,Diest,24020B,WEBBEKOM,WEBBEKOM,
24020,Diest,Diest,24020C,KAGGEVINNE*,KAGGEVINNE*,
24020,Diest,Diest,24020D,MOLENSTEDE,MOLENSTEDE,
24020,Diest,Diest,24020E,SCHAFFEN,SCHAFFEN,
24020,Diest,Diest,24020F,DEURNE,DEURNE,
