,YEAR_WEEK,NIS5,AGEGROUP,DOSE,CUMUL
613,21W01,23052,65-74,A,<10
614,21W01,23052,85+,A,<10
615,21W01,23060,18-34,A,<10
616,21W01,23060,35-44,A,<10
617,21W01,23060,45-54,A,<10
618,21W01,23060,55-64,A,<10
619,21W01,23062,18-34,A,<10
620,21W01,23062,65-74,A,<10
621,21W01,23062,75-84,A,<10
622,21W01,23062,85+,A,<10
623,21W01,23064,45-54,A,<10
624,21W01,23064,55-64,A,<10
625,21W01,23077,18-34,A,<10
626,21W01,23077,35-44,A,<10
627,21W01,23077,45-54,A,<10
628,21W01,23077,55-64,A,<10
629,21W01,23077,65-74,A,<10
630,21W01,23077,75-84,A,<10
631,21W01,23077,85+,A,<10
632,21W01,23081,35-44,A,<10
633,21W01,23081,45-54,A,<10
634,21W01,23081,55-64,A,<10
635,21W01,23081,75-84,A,<10
636,21W01,23081,85+,A,<10
637,21W01,23086,35-44,A,<10
638,21W01,23086,45-54,A,<10
639,21W01,23086,55-64,A,<10
640,21W01,23086,85+,A,<10
641,21W01,23088,18-34,A,<10
642,21W01,23088,35-44,A,<10
643,21W01,23088,45-54,A,<10
644,21W01,23088,55-64,A,<10
645,21W01,23088,65-74,A,<10
646,21W01,23088,75-84,A,<10
647,21W01,23088,85+,A,<10
648,21W01,23094,18-34,A,<10
649,21W01,23094,35-44,A,<10
650,21W01,23094,45-54,A,<10
651,21W01,23094,55-64,A,<10
652,21W01,23094,65-74,A,<10
653,21W01,23094,75-84,A,<10
654,21W01,23094,85+,A,12
655,21W01,23096,35-44,A,<10
656,21W01,23096,55-64,A,<10
657,21W01,23096,85+,A,<10
658,21W01,23097,35-44,A,<10
659,21W01,23097,45-54,A,<10
660,21W01,23097,55-64,A,<10
661,21W01,23098,18-34,A,<10
662,21W01,23098,45-54,A,<10
663,21W01,23098,55-64,A,<10
664,21W01,23098,65-74,A,<10
665,21W01,23098,85+,A,<10
666,21W01,23099,18-34,A,<10
667,21W01,23099,55-64,A,<10
668,21W01,23099,65-74,A,<10
669,21W01,23099,75-84,A,<10
670,21W01,23099,85+,A,<10
671,21W01,23101,35-44,A,<10
672,21W01,23101,45-54,A,<10
673,21W01,23101,55-64,A,<10
674,21W01,23101,65-74,A,<10
675,21W01,23102,18-34,A,<10
676,21W01,23102,55-64,A,<10
677,21W01,23102,65-74,A,<10
678,21W01,23102,75-84,A,<10
679,21W01,23102,85+,A,15
680,21W01,23103,18-34,A,<10
681,21W01,23103,45-54,A,<10
682,21W01,23103,55-64,A,<10
683,21W01,23103,65-74,A,<10
684,21W01,23103,75-84,A,13
685,21W01,23103,85+,A,39
686,21W01,23104,35-44,A,<10
687,21W01,23104,55-64,A,<10
688,21W01,23104,75-84,A,<10
689,21W01,23104,85+,A,<10
690,21W01,23105,18-34,A,<10
691,21W01,23105,35-44,A,<10
692,21W01,23105,45-54,A,<10
693,21W01,23105,55-64,A,<10
694,21W01,23105,65-74,A,<10
695,21W01,23105,75-84,A,27
696,21W01,23105,85+,A,62
697,21W01,24001,18-34,A,<10
698,21W01,24001,35-44,A,<10
699,21W01,24001,45-54,A,<10
700,21W01,24001,55-64,A,<10
701,21W01,24001,65-74,A,<10
702,21W01,24001,75-84,A,17
703,21W01,24001,85+,A,41
704,21W01,24007,18-34,A,<10
705,21W01,24007,45-54,A,<10
706,21W01,24007,55-64,A,<10
707,21W01,24007,85+,A,<10
708,21W01,24008,35-44,A,<10
709,21W01,24008,45-54,A,<10
710,21W01,24008,55-64,A,<10
711,21W01,24009,35-44,A,<10
712,21W01,24009,45-54,A,<10
713,21W01,24009,55-64,A,<10
714,21W01,24009,85+,A,<10
715,21W01,24011,35-44,A,<10
716,21W01,24011,45-54,A,<10
717,21W01,24011,55-64,A,<10
718,21W01,24011,65-74,A,<10
719,21W01,24011,75-84,A,<10
720,21W01,24011,85+,A,<10
721,21W01,24014,18-34,A,<10
722,21W01,24014,35-44,A,<10
723,21W01,24014,55-64,A,<10
724,21W01,24014,65-74,A,<10
725,21W01,24014,85+,A,<10
726,21W01,24016,35-44,A,<10
727,21W01,24016,45-54,A,<10
728,21W01,24016,55-64,A,<10
729,21W01,24016,65-74,A,<10
730,21W01,24016,75-84,A,<10
731,21W01,24016,85+,A,<10
732,21W01,24020,35-44,A,<10
733,21W01,24020,45-54,A,<10
734,21W01,24020,55-64,A,<10
735,21W01,24020,75-84,A,<10
736,21W01,24020,85+,A,<10
737,21W01,24028,55-64,A,<10
738,21W01,24033,45-54,A,<10
739,21W01,24033,55-64,A,<10
740,21W01,24033,65-74,A,<10
741,21W01,24033,75-84,A,15
