CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
4000,1,65-74,2020-01-02,2020,2
4000,1,75-84,2009-01-02,2009,3
4000,1,75-84,2010-01-02,2010,3
4000,1,75-84,2011-01-02,2011,2
4000,1,75-84,2012-01-02,2012,2
4000,1,75-84,2013-01-02,2013,7
4000,1,75-84,2014-01-02,2014,4
4000,1,75-84,2015-01-02,2015,4
4000,1,75-84,2016-01-02,2016,3
4000,1,75-84,2017-01-02,2017,4
4000,1,75-84,2018-01-02,2018,3
4000,1,75-84,2019-01-02,2019,1
4000,1,75-84,2020-01-02,2020,3
4000,1,85+,2009-01-02,2009,1
4000,1,85+,2010-01-02,2010,5
4000,1,85+,2011-01-02,2011,7
4000,1,85+,2012-01-02,2012,3
4000,1,85+,2013-01-02,2013,6
4000,1,85+,2014-01-02,2014,1
4000,1,85+,2015-01-02,2015,4
4000,1,85+,2016-01-02,2016,1
4000,1,85+,2017-01-02,2017,4
4000,1,85+,2018-01-02,2018,7
4000,1,85+,2019-01-02,2019,5
4000,1,85+,2020-01-02,2020,4
4000,2,0-24,2014-01-02,2014,1
4000,2,0-24,2015-01-02,2015,1
4000,2,25-44,2013-01-02,2013,1
