,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
24497,71070,1,Heusden-Zolder,27,,
29647,93022,1,Florennes,4,,
27416,84077,1,Libramont-Chevigny,5,,
24343,71066,1,Zonhoven,10,,
24396,71067,1,Zutendaal,1,,
24237,71053,1,Saint-Trond,67,,
24290,71057,1,Tessenderlo,3,,
17301,53046,2,Lens,2,,
28290,91064,2,Havelange,1,,
17248,53044,2,Jurbise,10,,
12932,41027,2,Herzele,7,,
12102,37010,2,Oostrozebeke,7,,
8321,25037,2,Grez-Doiceau,30,,
17196,53039,2,Hensies,3,,
1743,12009,2,Duffel,39,,
1006,11038,2,Schelle,4,,
17349,53053,2,Mons,86,,
8005,25005,2,Beauvechain,3,,
17559,53082,2,Colfontaine,13,,
25868,81003,2,Attert,3,,
28388,91103,2,Onhaye,1,,
8056,25014,2,Braine-lâAlleud,31,,
17506,53070,2,Saint-Ghislain,33,,
1427,11055,2,Zoersel,14,,
8109,25015,2,Braine-le-ChÃ¢teau,4,,
17455,53068,2,QuiÃ©vrain,3,,
8162,25018,2,Chaumont-Gistoux,4,,
12879,41024,2,Haaltert,15,,
17402,53065,2,Quaregnon,9,,
12153,37011,2,Pittem,2,,
25917,81004,2,Aubange,21,,
8215,25023,2,Court-Saint-Etienne,4,,
8268,25031,2,Genappe,20,,
25969,81013,2,Martelange,2,,
8427,25044,2,Ittre,5,,
8374,25043,2,Incourt,4,,
8690,25084,2,Perwez (Nivelles),8,,
16774,52025,2,Gerpinnes,27,,
8743,25091,2,Rixensart,11,,
28143,91034,2,Dinant,6,,
1058,11039,2,Schilde,13,,
8796,25105,2,Tubize,23,,
16721,52022,2,Fontaine-lâEvÃªque,16,,
26065,82003,2,Bastogne,9,,
11945,36019,2,Staden,12,,
26118,82005,2,Bertogne,1,,
8849,25107,2,Villers-la-Ville,1,,
16615,52018,2,Farciennes,3,,
8902,25110,2,Waterloo,27,,
16562,52015,2,Courcelles,16,,
1690,12007,2,Bornem,6,,
28090,91030,2,Ciney,8,,
16668,52021,2,Fleurus,12,,
16827,52048,2,Montigny-le-Tilleul,6,,
13091,41063,2,Sint-Lievens-Houtem,5,,
8637,25072,2,Nivelles,29,,
12985,41034,2,Lede,15,,
17143,53028,2,Frameries,23,,
17090,53020,2,Dour,7,,
12050,37007,2,Meulebeke,6,,
8478,25048,2,Jodoigne,13,,
17037,53014,2,Boussu,18,,
26015,81015,2,Messancy,4,,
28237,91059,2,Hamois,2,,
16985,52075,2,Les Bons Villers,3,,
8531,25050,2,La Hulpe,2,,
13038,41048,2,Ninove,56,,
16933,52074,2,Aiseau-Presles,5,,
8584,25068,2,Mont-Saint-Guibert,5,,
28195,91054,2,Gedinne,1,,
16880,52055,2,Pont-Ã -Celles,5,,
11998,37002,2,Dentergem,12,,
27076,84033,2,LÃ©glise,2,,
27326,84068,2,Tellin,1,,
17612,53083,2,Honnelles,3,,
17711,55004,2,Braine-le-Comte,26,,
17659,53084,2,QuÃ©vy,4,,
28580,91142,2,HastiÃ¨re,3,,
7180,24048,2,Keerbergen,3,,
18531,56088,2,Sivry-Rance,3,,
12618,38016,2,Nieuport,22,,
18479,56086,2,Ham-sur-Heure-Nalinnes,11,,
