name,date_time,n_baseline,n_crisis,percent_change
Charleroi,2020-06-12,117486.99225001,113072,-0.037578562234489556
Leuven,2020-06-12,111923.166666667,112747,0.007360704292673915
Aalst,2020-06-12,76001.49475154601,76046,0.0005855838572581053
Dinant,2020-06-12,27237.2308520925,28435,0.043975437679836
Ath,2020-06-12,21492.3333333334,21581,0.004125502117030808
Antwerpen,2020-06-12,261882.55718397902,256916,-0.018964826208298747
Ieper,2020-06-12,27294.819444444503,27369,0.002717752198598808
Brussel Hoofdstad,2020-06-12,300273.33333333,276133,-0.08039452942873249
Gent,2020-06-12,148471.62574901,144813,-0.024641918821545643
Hasselt,2020-06-12,118729.52298519999,116875,-0.015619729099991098
Brugge,2020-06-12,76766.677697523,76794,0.00035591357209248246
Kortrijk,2020-06-12,78344.969083712,76834,-0.019286102239666744
Arlon,2020-06-12,17101.062875394102,17161,0.003504877155450892
Halle-Vilvoorde,2020-06-12,146020.07242758299,142946,-0.021052396266325213
Huy,2020-06-12,27764.4222941371,28259,0.017813362029410463
Maaseik,2020-06-12,59141.25,59226,0.0014330099549806608
Bastogne,2020-06-12,12067.428760114999,12165,0.008085503699635775
Liège,2020-06-12,164187.78629468702,157684,-0.03961187638533545
Diksmuide,2020-06-12,13206.6666666667,13296,0.006764260474505236
Nivelles,2020-06-13,84972.291139054,85318,0.004068489342958454
Leuven,2020-06-13,108753.753757425,109865,0.010218003555570416
Aalst,2020-06-13,77283.144425913,76397,-0.011466205632490664
Huy,2020-06-13,27838.1314388133,28563,0.02603869310624968
Mouscron,2020-06-13,21834.491857647197,21032,-0.036753402042930386
Antwerpen,2020-06-13,254421.34129153204,246470,-0.03125265062737362
Tielt,2020-06-13,24404.0705502114,24115,-0.011845177615620997
Virton,2020-06-13,12924.5017949183,12976,0.003984540827867579
Turnhout,2020-06-13,116273.16161773301,118884,0.022454350995034802
Soignies,2020-06-13,47350.369333057,46315,-0.021866130035318933
Dinant,2020-06-13,28186.3624779046,30615,0.08616356665388157
Thuin,2020-06-13,38056.985342055,37998,-0.001549921559073597
Veurne,2020-06-13,16663.249999999898,19998,0.20012602583530356
Arlon,2020-06-13,17343.274133764302,17216,-0.007338529782938829
Oostende,2020-06-13,46257.556926667,55493,0.19965263379503867
Roeselare,2020-06-13,42567.570085889005,42430,-0.0032318050011177165
Maaseik,2020-06-13,60086.554229186,60415,0.005466210785881056
Liège,2020-06-13,159164.049714717,154640,-0.028423816325519657
Waremme,2020-06-13,20468.4828627975,20550,0.003982568603101563
Hasselt,2020-06-13,115205.44985042501,114117,-0.00944790243723867
Mons,2020-06-13,66506.389701496,64453,-0.03087507396976934
Verviers,2020-06-13,60563.144001961,60647,0.001384604439232597
Sint-Niklaas,2020-06-13,66196.89945487899,65414,-0.011826829675196961
Charleroi,2020-06-13,115471.426529975,110931,-0.03932077974975356
Bastogne,2020-06-13,12844.8369712778,12946,0.007875773662866193
Ath,2020-06-13,21698.4196100083,22190,0.022655124143924368
Eeklo,2020-06-13,22961.9035784775,23217,0.011109550244850115
Oudenaarde,2020-06-13,30238.331764544997,30370,0.0043543485295503784
Mechelen,2020-06-13,79166.039957818,78505,-0.008350044516186672
Dendermonde,2020-06-13,54244.888580542,53806,-0.008090874403591857
Gent,2020-06-13,138816.769401133,136905,-0.013771890884512968
Halle-Vilvoorde,2020-06-13,141690.989607295,138504,-0.022492535454286287
Brussel Hoofdstad,2020-06-13,282341.916666667,260428,-0.07761481867582048
Diksmuide,2020-06-13,13741.0751712009,13745,0.00028562748913020297
Marche-en-Famenne,2020-06-13,16176.0833333333,18765,0.16004595261523172
Ieper,2020-06-13,27529.8357684164,27497,-0.0011927339012342047
Philippeville,2020-06-13,16492.4818725381,17216,0.04386957239387001
Tongeren,2020-06-13,56142.727551714,56839,0.012401827959723747
Brugge,2020-06-13,76297.408396005,77204,0.011882338116774948
Namur,2020-06-13,76639.81697746099,76205,-0.005673512732798676
Kortrijk,2020-06-13,75732.054930305,74124,-0.0212334781062639
Neufchâteau,2020-06-13,15869.4384584804,16749,0.05542486861276277
Tournai,2020-06-13,37640.95861843,36587,-0.02800031288028762
Marche-en-Famenne,2020-06-14,15853.3364743805,17869,0.12714443605463602
Ieper,2020-06-14,27641.8734121778,28221,0.020951061427228097
Verviers,2020-06-14,60609.940760326,61206,0.009834347834640534
Charleroi,2020-06-14,115840.881473407,111756,-0.035262865936882125
Dinant,2020-06-14,28063.536725150298,30996,0.10449371736605295
