date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-11-18 0800,Esch-sur-Alzette,Luxembourg,799,103.4,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-11-18 0800,Virton,Virton,1679,2313.4,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-11-18 0800,Clervaux,Clervaux,873,1161.0,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-11-18 0800,Meurthe-et-Moselle,Meurthe-et-Moselle,4396,5888.6,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-11-18 1600,Neufchâteau,Neufchâteau,209,272.2,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-18 1600,Redange,Redange,791,1314.4,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-11-18 1600,Meurthe-et-Moselle,Moselle,31,16.2,48.788772923342,6.161935534586201,49.037552167624,6.6613465360915995
2020-11-18 1600,Capellen,Esch-sur-Alzette,138,28.4,49.640456129419,5.9634696225832,49.522074327795,6.0254361757286
2020-11-18 1600,Moselle,Meurthe-et-Moselle,16,12.2,49.037552167624,6.6613465360915995,48.788772923342,6.161935534586201
2020-11-18 1600,Marche-en-Famenne,Marche-en-Famenne,582,619.0,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-18 1600,Capellen,Capellen,1946,2843.0,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-11-18 1600,Mersch,Mersch,1425,2073.0,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-18 1600,Esch-sur-Alzette,Esch-sur-Alzette,11607,15303.8,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-11-18 1600,Wiltz,Wiltz,827,1187.6,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-18 1600,Moselle,Moselle,4051,5608.2,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
